Code,LocalAuthority,LGBF Year,Month,LA_IndicatorReal,LA_Numerator_real,LA_Den_Real,Scotland_Indicator_Real,Scotland_Num_Real,Scotland_Den_Real
CORP09,Dumfries & Galloway,2022-23,Q4,0.74,1570,2115,0.91,70455,77310
CORP09,Dundee City,2018-19,Q1,0.96,1245,1300,0.95,43220,45335
CORP09,Dundee City,2018-19,Q2,0.95,1355,1420,0.95,42485,44675
CORP09,Dundee City,2018-19,Q3,0.96,1390,1450,0.96,43850,45545
CORP09,Dundee City,2018-19,Q4,0.95,1570,1650,0.96,55370,57450
CORP09,Dundee City,2019-20,Q1,0.97,1385,1430,0.95,48665,51170
CORP09,Dundee City,2019-20,Q2,0.97,1250,1285,0.96,49270,51405
CORP09,Dundee City,2019-20,Q3,0.98,1330,1360,0.96,49190,51455
CORP09,Dundee City,2019-20,Q4,0.97,1765,1820,0.94,60110,63875
CORP09,Dundee City,2020-21,Q1,0.96,2280,2385,0.92,71020,77345
CORP09,Dundee City,2020-21,Q2,0.96,1800,1885,0.95,55980,58720
CORP09,Dundee City,2020-21,Q3,0.97,1980,2030,0.95,60755,63875
CORP09,Dundee City,2020-21,Q4,0.96,2235,2340,0.93,67485,72935
CORP09,Dundee City,2021-22,Q1,0.96,1860,1925,0.95,57975,61285
CORP09,Dundee City,2021-22,Q2,0.98,2210,2265,0.94,53760,57375
CORP09,Dundee City,2021-22,Q3,0.95,2510,2640,0.94,61755,65860
CORP09,Dundee City,2021-22,Q4,0.88,2500,2840,0.9,70960,79140
CORP09,Dundee City,2022-23,Q1,0.85,2180,2550,0.88,65525,74460
CORP09,Dundee City,2022-23,Q2,0.9,1990,2215,0.93,62365,67390
CORP09,Dundee City,2022-23,Q3,0.91,1925,2110,0.95,60550,64000
CORP09,Dundee City,2022-23,Q4,0.89,2290,2575,0.91,70455,77310
CORP09,East Ayrshire,2018-19,Q1,0.98,1425,1455,0.95,43220,45335
CORP09,East Ayrshire,2018-19,Q2,0.98,1505,1540,0.95,42485,44675
CORP09,East Ayrshire,2018-19,Q3,1,1400,1400,0.96,43850,45545
CORP09,East Ayrshire,2018-19,Q4,0.99,1625,1635,0.96,55370,57450
CORP09,East Ayrshire,2019-20,Q1,0.99,1405,1415,0.95,48665,51170
CORP09,East Ayrshire,2019-20,Q2,1,1535,1540,0.96,49270,51405
CORP09,East Ayrshire,2019-20,Q3,0.99,1320,1330,0.96,49190,51455
CORP09,East Ayrshire,2019-20,Q4,1,1530,1540,0.94,60110,63875
CORP09,East Ayrshire,2020-21,Q1,1,1760,1765,0.92,71020,77345
CORP09,East Ayrshire,2020-21,Q2,0.99,1165,1170,0.95,55980,58720
CORP09,East Ayrshire,2020-21,Q3,0.99,1450,1455,0.95,60755,63875
CORP09,East Ayrshire,2020-21,Q4,1,1515,1520,0.93,67485,72935
CORP09,East Ayrshire,2021-22,Q1,0.99,1240,1255,0.95,57975,61285
CORP09,East Ayrshire,2021-22,Q2,1,1420,1425,0.94,53760,57375
CORP09,East Ayrshire,2021-22,Q3,1,1530,1535,0.94,61755,65860
CORP09,East Ayrshire,2021-22,Q4,0.98,1905,1935,0.9,70960,79140
CORP09,East Ayrshire,2022-23,Q1,0.99,1760,1765,0.88,65525,74460
CORP09,East Ayrshire,2022-23,Q2,0.99,1600,1605,0.93,62365,67390
CORP09,East Ayrshire,2022-23,Q3,1,1500,1500,0.95,60550,64000
