LocalAuthority,IndicatorCode,Year,LA_IndicatorCash,LA_NumeratorCash,LA_DenominatorCash,Scotland_IndicatorCash,Scotland_NumeratorCash,Scotland_DenominatorCash,IndicatorCash_FG,NumeratorCash_FG,DenominatorCash_FG,FamilyGroup
Aberdeen City,CHN02,2010-11,7025.87,65720,9354,6384.16,1918011.499,300433,6740.8975,88627.93734,13348.25,Urban
Aberdeen City,CHN02,2011-12,6574.22,60805,9249,6290.02,1865085.828,296515,6396.68625,83509.47848,13188.25,Urban
Aberdeen City,CHN02,2012-13,6858.23,61971,9036,6400.93,1875292.89,292972,6509.94125,83769.61123,13057.875,Urban
Aberdeen City,CHN02,2013-14,7068.67,62586,8854,6509.54,1878510.006,288578,6527.275,82929.50073,12892,Urban
Aberdeen City,CHN02,2014-15,7313.22,64722,8850,6564.98,1865558.039,284168,6672.47875,83257.37988,12714.875,Urban
Aberdeen City,CHN02,2015-16,7458.24,65282,8753,6694.69,1883583.479,281355,6741.775,83906.4349,12604.125,Urban
Aberdeen City,CHN02,2016-17,7378.05,63857,8655,6814.4,1910811.259,280408,6841.195,84995.03233,12558.5,Urban
Aberdeen City,CHN02,2017-18,7272.53,63031,8667,6888.43,1938437.253,281405,6868.23625,86360.28166,12693.125,Urban
Aberdeen City,CHN02,2018-19,7444.71,66444,8925,7171.62,2047963,285565,7274.2825,94636.875,12969.875,Urban
Aberdeen City,CHN02,2019-20,7712.06,70226,9106,7546.29,2199525.818,291471,7632.0075,102890.4773,13294.875,Urban
Aberdeen City,CHN02,2020-21,7285.85,69915,9596,7656.72,2304322,300954,7585.5875,106159.25,13793,Urban
Aberdeen City,CHN02,2021-22,7113.04,71422,10041,7902.74,2424647,306811,7832.49875,111737.125,14155.25,Urban
Aberdeen City,CHN03,2010-11,2058.15,7574,3680,3343.6,307778,92050,3353.43125,8058.75,2835,Least Deprived
Aberdeen City,CHN03,2011-12,2185.71,7956,3640,3082.54,292441,94870,2804.545,7580.125,2883.75,Least Deprived
Aberdeen City,CHN03,2012-13,2866.54,10589,3694,3097.18,303477,97985,3213.96375,8599.125,2999.5,Least Deprived
Aberdeen City,CHN03,2013-14,2672.49,10861,4064,3001.24,308741,102871,3098.7325,8927.375,3205,Least Deprived
Aberdeen City,CHN03,2014-15,3838.37,13845,3607,3303.4,335173,101463,3487.9925,9933,3110.625,Least Deprived
Aberdeen City,CHN03,2015-16,4654.16,16378,3519,3841.13,373596,97262,3891.31625,10737.875,3031.625,Least Deprived
Aberdeen City,CHN03,2016-17,5026.27,18562,3693,4200.19,407255,96961,4398.1025,12060.5,3067,Least Deprived
Aberdeen City,CHN03,2017-18,4540.15,15718,3462,4430.23,424828,95893,4413.98,12192,3036.5,Least Deprived
Aberdeen City,CHN03,2018-19,4398.61,15769,3585,5018.35,484517,96549,4972.2325,13577.375,3051.75,Least Deprived
Aberdeen City,CHN03,2019-20,7315.83,26754,3657,6749.37,650470.1636,96375,6576.1125,18888,3057.625,Least Deprived
Aberdeen City,CHN03,2020-21,10469.04,35333,3375,9273.35,835770,90126,9302.7575,26492.375,2868,Least Deprived
Aberdeen City,CHN03,2021-22,10203.61,35029,3433,10307.84,944229,91603,10663.7,29446.25,2858.5,Least Deprived
Aberdeen City,CHN04,2011-12,0.47,,,0.51,,,0.59625,,,Least Deprived
Aberdeen City,CHN04,2012-13,0.48,,,0.53,,,0.60875,,,Least Deprived
Aberdeen City,CHN04,2013-14,0.49,,,0.55,,,0.62375,,,Least Deprived
Aberdeen City,CHN04,2014-15,0.52,,,0.57,,,0.64,,,Least Deprived
Aberdeen City,CHN04,2015-16,0.55,,,0.59,,,0.6625,,,Least Deprived
Aberdeen City,CHN04,2016-17,0.57,,,0.6,,,0.68125,,,Least Deprived
Aberdeen City,CHN04,2017-18,0.58,,,0.62,,,0.6925,,,Least Deprived
Aberdeen City,CHN04,2018-19,0.58,,,0.63,,,0.71,,,Least Deprived
Aberdeen City,CHN04,2019-20,0.6,,,0.64,,,0.695,,,Least Deprived
Aberdeen City,CHN04,2020-21,0.63,,,0.67,,,0.74625,,,Least Deprived
Aberdeen City,CHN04,2021-22,0.7,,,0.69,,,0.7625,,,Least Deprived
Aberdeen City,CHN05,2011-12,0.27,,,0.26,,,0.3275,,,Least Deprived
Aberdeen City,CHN05,2012-13,0.25,,,0.27,,,0.33125,,,Least Deprived
Aberdeen City,CHN05,2013-14,0.27,,,0.29,,,0.3625,,,Least Deprived
Aberdeen City,CHN05,2014-15,0.3,,,0.31,,,0.38375,,,Least Deprived
Aberdeen City,CHN05,2015-16,0.32,,,0.33,,,0.395,,,Least Deprived
Aberdeen City,CHN05,2016-17,0.32,,,0.34,,,0.4125,,,Least Deprived
Aberdeen City,CHN05,2017-18,0.32,,,0.34,,,0.41625,,,Least Deprived
Aberdeen City,CHN05,2018-19,0.31,,,0.35,,,0.42,,,Least Deprived
Aberdeen City,CHN05,2019-20,0.36,,,0.38,,,0.45,,,Least Deprived
Aberdeen City,CHN05,2020-21,0.37,,,0.41,,,0.48375,,,Least Deprived
Aberdeen City,CHN05,2021-22,0.39,,,0.4,,,0.46,,,Least Deprived
Aberdeen City,CHN06,2011-12,0.16,,,0.29,,,0.295,,,Least Deprived
Aberdeen City,CHN06,2012-13,0.24,,,0.32,,,0.316666667,,,Least Deprived
Aberdeen City,CHN06,2013-14,0.22,,,0.34,,,0.345,,,Least Deprived
Aberdeen City,CHN06,2014-15,0.22,,,0.37,,,0.396666667,,,Least Deprived
Aberdeen City,CHN06,2015-16,0.33,,,0.4,,,0.393333333,,,Least Deprived
Aberdeen City,CHN06,2016-17,0.3,,,0.41,,,0.426666667,,,Least Deprived
Aberdeen City,CHN06,2017-18,0.29,,,0.42,,,0.463333333,,,Least Deprived
Aberdeen City,CHN06,2018-19,0.32,,,0.45,,,0.456666667,,,Least Deprived
Aberdeen City,CHN06,2019-20,0.37,,,0.47,,,0.48,,,Least Deprived
Aberdeen City,CHN06,2020-21,0.43,,,0.49,,,0.54,,,Least Deprived
Aberdeen City,CHN06,2021-22,0.48,,,0.52,,,0.573333333,,,Least Deprived
Aberdeen City,CHN07,2011-12,0.05,,,0.1,,,0.142,,,Least Deprived
Aberdeen City,CHN07,2012-13,0.05,,,0.11,,,0.112,,,Least Deprived
Aberdeen City,CHN07,2013-14,0.08,,,0.14,,,0.1,,,Least Deprived
Aberdeen City,CHN07,2014-15,0.07,,,0.14,,,0.174,,,Least Deprived
Aberdeen City,CHN07,2015-16,0.14,,,0.15,,,0.185,,,Least Deprived
Aberdeen City,CHN07,2016-17,0.09,,,0.16,,,0.181666667,,,Least Deprived
Aberdeen City,CHN07,2017-18,0.1,,,0.17,,,0.208333333,,,Least Deprived
Aberdeen City,CHN07,2018-19,0.09,,,0.19,,,0.2,,,Least Deprived
Aberdeen City,CHN07,2019-20,0.14,,,0.21,,,0.24,,,Least Deprived
Aberdeen City,CHN07,2020-21,0.17,,,0.23,,,0.278,,,Least Deprived
Aberdeen City,CHN07,2021-22,0.13,,,0.23,,,0.265,,,Least Deprived
Aberdeen City,CHN08a,2010-11,2914.4917,8487,56,2810.496,213519,1461,4287.303388,5770.125,35.25,Least Deprived
Aberdeen City,CHN08a,2011-12,2915.035,8337,55,3014.2252,224608,1433,3956.518738,5744,34.375,Least Deprived
Aberdeen City,CHN08a,2012-13,2882.8671,8245,55,2930.1475,223371,1466,3759.914675,5430,33.25,Least Deprived
Aberdeen City,CHN08a,2013-14,2680.211,8641,62,3104.6485,236835,1467,4259.763725,5826.25,34.25,Least Deprived
Aberdeen City,CHN08a,2014-15,3040.7052,9487,60,3170.9638,252117,1529,4325.386575,6169.5,34.25,Least Deprived
Aberdeen City,CHN08a,2015-16,3018.9394,10361,66,3405.8513,261583,1477,4545.151788,5800.25,34.25,Least Deprived
Aberdeen City,CHN08a,2016-17,3139.4231,11101,68,3386.6927,265747,1509,3791.706738,5915.125,37.875,Least Deprived
Aberdeen City,CHN08a,2017-18,3720.5335,11995,62,3501.2592,275283,1512,4214.76215,6175.375,36.125,Least Deprived
Aberdeen City,CHN08a,2018-19,5921.1915,15703,51,3830.7481,288440,1448,5815.56275,6644.125,34.375,Least Deprived
Aberdeen City,CHN08a,2019-20,3271.7529,10378,61,3910.261,287107,1412,4944.280025,6518.875,36.375,Least Deprived
Aberdeen City,CHN08a,2020-21,4084.0081,12105,57,4379.875,292891,1286,4568.787275,7439.25,36.25,Least Deprived
Aberdeen City,CHN08a,2021-22,4158.3915,11893,55,4702.1029,313950,1284,5106.092613,8344.375,38.125,Least Deprived
Aberdeen City,CHN08b,2010-11,254.7585,7763,586,204.7654,157268,14770,282.5229375,4488.375,345.5,Least Deprived
Aberdeen City,CHN08b,2011-12,277.8321,7946,550,221.2179,170422,14815,249.114925,4433.125,348.875,Least Deprived
