DataType,Code,LocalAuthority,Period,Value,Numerator,Denominator
Real,SW08,Scottish Borders,2016-17,488.1275441,5756,11792
Real,SW08,Scottish Borders,2017-18,855.4739653,10252,11984
Real,SW08,Scottish Borders,2018-19,760.7843137,9312,12240
Real,SW08,Scottish Borders,2019-20,655.5414619,8269,12614
Real,SW08,Scottish Borders,2020-21,588.4224412,7583,12887
Real,SW08,Scottish Borders,2021-22,981.8690036,12997,13237
Real,SW08,Scottish Borders,2022-23,1364.433029,18061,13237
Real,SW08,Scottish Borders,2023-24,1105.6886,14636,13237
Real,SW08,Shetland Islands,2016-17,417.2583288,764,1831
Real,SW08,Shetland Islands,2017-18,505.0397878,952,1885
Real,SW08,Shetland Islands,2018-19,572.7365209,1126,1966
Real,SW08,Shetland Islands,2019-20,499.0253411,1024,2052
Real,SW08,Shetland Islands,2020-21,153.0131827,325,2124
Real,SW08,Shetland Islands,2021-22,333.3333333,728,2184
Real,SW08,Shetland Islands,2022-23,732.1428571,1599,2184
Real,SW08,Shetland Islands,2023-24,220.6959707,482,2184
Real,SW08,South Ayrshire,2016-17,960.2067608,11703,12188
Real,SW08,South Ayrshire,2017-18,967.3181672,12076,12484
Real,SW08,South Ayrshire,2018-19,1353.513174,17260,12752
Real,SW08,South Ayrshire,2019-20,1699.446089,22397,13179
Real,SW08,South Ayrshire,2020-21,886.3584949,11754,13261
Real,SW08,South Ayrshire,2021-22,1365.127672,18391,13472
Real,SW08,South Ayrshire,2022-23,2216.003563,29854,13472
Real,SW08,South Ayrshire,2023-24,1345.160333,18122,13472
Real,SW08,South Lanarkshire,2016-17,968.8338572,25273,26086
Real,SW08,South Lanarkshire,2017-18,1118.076298,29572,26449
Real,SW08,South Lanarkshire,2018-19,1024.655089,27554,26891
Real,SW08,South Lanarkshire,2019-20,1155.685152,31905,27607
Real,SW08,South Lanarkshire,2020-21,544.2149807,15047,27649
Real,SW08,South Lanarkshire,2021-22,910.3554315,25459,27966
Real,SW08,South Lanarkshire,2022-23,1043.624401,29186,27966
Real,SW08,South Lanarkshire,2023-24,656.2611743,18353,27966
Real,SW08,Stirling,2016-17,573.964497,4462,7774
Real,SW08,Stirling,2017-18,565.6920567,4508,7969
Real,SW08,Stirling,2018-19,540.3413975,4400,8143
Real,SW08,Stirling,2019-20,848.7816532,7106,8372
Real,SW08,Stirling,2020-21,375.0736942,3181,8481
Real,SW08,Stirling,2021-22,756.1565017,6571,8690
Real,SW08,Stirling,2022-23,848.3314154,7372,8690
Real,SW08,Stirling,2023-24,538.2048331,4677,8690
Real,SW08,West Dunbartonshire,2016-17,315.416253,2224,7051
Real,SW08,West Dunbartonshire,2017-18,333.993773,2360,7066
Real,SW08,West Dunbartonshire,2018-19,331.9631467,2342,7055
Real,SW08,West Dunbartonshire,2019-20,541.0088026,3872,7157
Real,SW08,West Dunbartonshire,2020-21,909.0653549,6468,7115
Real,SW08,West Dunbartonshire,2021-22,961.3566861,6916,7194
